,count,mean,std,min,25%,50%,75%,max
1,10843.0,429.63700083002857,104.58471879217876,1.0,433.0,463.0,488.0,512.0
2,10843.0,429.63700083002857,104.58471879217876,1.0,433.0,463.0,488.0,512.0
3,10843.0,429.63700083002857,104.58471879217876,1.0,433.0,463.0,488.0,512.0
4,12201.0,440.14974182444064,86.34756844027551,1.0,436.0,464.0,488.0,512.0
5,12201.0,440.14974182444064,86.34756844027551,1.0,436.0,464.0,488.0,512.0
6,12201.0,440.14974182444064,86.34756844027551,1.0,436.0,464.0,488.0,512.0
7,10843.0,429.63700083002857,104.58471879217876,1.0,433.0,463.0,488.0,512.0
8,10843.0,429.63700083002857,104.58471879217876,1.0,433.0,463.0,488.0,512.0
9,10843.0,429.63700083002857,104.58471879217876,1.0,433.0,463.0,488.0,512.0
10,12201.0,440.14974182444064,86.34756844027551,1.0,436.0,464.0,488.0,512.0
11,12201.0,440.14974182444064,86.34756844027551,1.0,436.0,464.0,488.0,512.0
12,12201.0,440.14974182444064,86.34756844027551,1.0,436.0,464.0,488.0,512.0
13,2036.0,2265.3084479371314,1005.7732527846671,1.0,1719.5,2493.0,2970.0,8910.0
14,2036.0,2265.3084479371314,1005.7732527846671,1.0,1719.5,2493.0,2970.0,8910.0
15,2036.0,2265.3084479371314,1005.7732527846671,1.0,1719.5,2493.0,2970.0,8910.0
16,2036.0,2265.3084479371314,1005.7732527846671,1.0,1719.5,2493.0,2970.0,8910.0
17,2036.0,2265.3084479371314,1005.7732527846671,1.0,1719.5,2493.0,2970.0,8910.0
18,2036.0,2265.3084479371314,1005.7732527846671,1.0,1719.5,2493.0,2970.0,8910.0
19,10828.0,430.4652752124123,104.65910741758532,1.0,434.0,464.0,489.0,512.0
20,10828.0,430.4652752124123,104.65910741758532,1.0,434.0,464.0,489.0,512.0
21,10828.0,430.4652752124123,104.65910741758532,1.0,434.0,464.0,489.0,512.0
22,12205.0,440.7740270380991,86.67433725158523,1.0,437.0,465.0,489.0,512.0
23,12205.0,440.7740270380991,86.67433725158523,1.0,437.0,465.0,489.0,512.0
24,12205.0,440.7740270380991,86.67433725158523,1.0,437.0,465.0,489.0,512.0
25,10232.0,452.1765050820954,314.2174127386434,1.0,319.0,425.0,495.0,6403.0
26,10232.0,452.1765050820954,314.2174127386434,1.0,319.0,425.0,495.0,6403.0
27,10232.0,452.1765050820954,314.2174127386434,1.0,319.0,425.0,495.0,6403.0
28,10390.0,454.16948989412896,310.94070574314475,1.0,324.0,429.0,495.0,6403.0
29,10390.0,454.16948989412896,310.94070574314475,1.0,324.0,429.0,495.0,6403.0
30,10390.0,454.16948989412896,310.94070574314475,1.0,324.0,429.0,495.0,6403.0
